latitud,longitud,region,periodo,periodo_date
-34.7855319492,-58.401644061,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9540005,-57.9757545,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.923537,-57.944772,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.929114,-57.94418,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9155228947,-57.9648024335,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.885443,-57.976897,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9159381,-57.9239213,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.8994919739,-57.973739746,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.904586,-57.952035,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7347005588,-58.3975103381,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9141938715,-57.9383476141,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.914546,-57.954717,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.925041,-57.943956,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9153589346,-57.9654503981,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.923537,-57.944772,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.822259,-58.180614,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.9207789796,-57.9304931106,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.7917915,-58.3739682,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.656772,-58.371021,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.921109606,-57.9451376233,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
-34.8131047,-58.366722,Bs.As. G.B.A. Zona Sur,04-2015,2015-04-01
