jurisdiccion,localidad,periodo,monto
Capital Federal,Villa Crespo,12-2015,5259.2592592592591
Capital Federal,Congreso,12-2015,5933.333333333333
Capital Federal,Barracas,12-2015,5844.4444444444443
Capital Federal,Villa del Parque,12-2015,5862.5
Capital Federal,Tribunales,12-2015,3975
Bs.As. G.B.A. Zona Sur,Quilmes,12-2015,4218.181818181818
Capital Federal,Caballito,12-2015,6036.88524590164
Bs.As. G.B.A. Zona Sur,Berazategui,12-2015,3500
Bs.As. G.B.A. Zona Oeste,Morón,12-2015,3938.5416666666665
Bs.As. G.B.A. Zona Norte,San Fernando,12-2015,5977.272727272727
Capital Federal,Chacarita,12-2015,5100
Capital Federal,Villa General Mitre,12-2015,6775
Bs.As. G.B.A. Zona Sur,La Plata,12-2015,4772.3529411764712
Capital Federal,Almagro,12-2015,2970.2830188679241
Capital Federal,Villa Ortuzar,12-2015,6000
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,12-2015,3500
Capital Federal,Belgrano,12-2015,10366.666666666666
Bs.As. G.B.A. Zona Oeste,Ituzaingó,12-2015,3300
Capital Federal,Liniers,12-2015,4633.333333333333
Capital Federal,Flores,12-2015,5238.4615384615381
Capital Federal,Monserrat,12-2015,6883.333333333333
Bs.As. G.B.A. Zona Oeste,Moreno,12-2015,3553.5714285714289
Capital Federal,Abasto,12-2015,9248.1428571428569
Capital Federal,San Telmo,12-2015,8211.7647058823532
Capital Federal,Nuñez,12-2015,11348.846153846156
Capital Federal,Villa Devoto,12-2015,5077.7777777777774
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,12-2015,4473.9130434782619
Capital Federal,Puerto Madero,12-2015,18613.333333333336
Bs.As. G.B.A. Zona Norte,San Isidro,12-2015,10012.222222222221
Capital Federal,Balvanera,12-2015,7054.8571428571422
Bs.As. G.B.A. Zona Norte,Pilar,11-2020,29172.413793103446
Capital Federal,Villa Santa Rita,11-2020,28000
Bs.As. G.B.A. Zona Sur,Quilmes,11-2020,22704.191616766468
Capital Federal,Balvanera,11-2020,25541.935483870966
Capital Federal,Las Cañitas,11-2020,39750
Capital Federal,Barrio Norte,11-2020,34279.752066115689
Capital Federal,Parque Avellaneda,11-2020,18500
Capital Federal,Villa Soldati,11-2020,25000
Bs.As. G.B.A. Zona Norte,Tigre,11-2020,39345.454545454551
Capital Federal,Villa Luro,11-2020,23881.25
Bs.As. G.B.A. Zona Oeste,La Matanza,11-2020,20117.6
Bs.As. G.B.A. Zona Sur,Avellaneda,11-2020,19349.056603773584
Capital Federal,Velez Sarsfield,11-2020,32000
Capital Federal,Flores,11-2020,26687.654320987655
Bs.As. G.B.A. Zona Sur,Florencio Varela,11-2020,14000
Capital Federal,Boca,11-2020,22527.272727272728
Capital Federal,San Telmo,11-2020,28644.615384615379
Bs.As. G.B.A. Zona Oeste,General Rodríguez,11-2020,15000
Capital Federal,Villa Lugano,11-2020,19437.5
Bs.As. G.B.A. Zona Oeste,Morón,11-2020,18187.681159420285
Capital Federal,Agronomía,11-2020,20833.333333333332
Capital Federal,Boedo,11-2020,23286.538461538461
Capital Federal,Congreso,11-2020,22968.571428571431
Capital Federal,Saavedra,11-2020,27272.727272727272
Capital Federal,Villa del Parque,11-2020,31602.941176470587
Capital Federal,Coghlan,11-2020,34928.571428571428
Bs.As. G.B.A. Zona Sur,Berazategui,11-2020,21749.999999999996
Bs.As. G.B.A. Zona Norte,"",11-2020,17666.666666666664
Capital Federal,Villa Crespo,11-2020,28074.105882352938
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,11-2020,17166.666666666664
Capital Federal,Abasto,11-2020,31178.571428571428
Bs.As. G.B.A. Zona Norte,José C Paz,11-2020,14657.142857142857
Capital Federal,Puerto Madero,11-2020,146835.41176470587
Bs.As. G.B.A. Zona Oeste,Marcos Paz,11-2020,16333.333333333334
Capital Federal,Recoleta,11-2020,52391.475409836065
Capital Federal,San Cristobal,11-2020,25500
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,11-2020,18523.809523809527
Capital Federal,Belgrano,11-2020,44159.114705882348
Capital Federal,Nuñez,11-2020,43371.6814159292
Bs.As. G.B.A. Zona Oeste,Moreno,11-2020,15867.64705882353
Capital Federal,Catalinas,11-2020,21000
Capital Federal,Palermo,11-2020,54853.79160636758
Capital Federal,Barracas,11-2020,30875
Capital Federal,Monserrat,11-2020,24280.487804878048
Capital Federal,Monte Castro,11-2020,22571.428571428572
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,11-2020,22799.415204678364
Capital Federal,Parque Centenario,11-2020,27750
Bs.As. G.B.A. Zona Oeste,Hurlingham,11-2020,17575
Bs.As. G.B.A. Zona Norte,Vicente López,11-2020,96707.692307692312
Capital Federal,"",11-2020,22421.05263157895
Capital Federal,Once,11-2020,30891.304347826084
Capital Federal,Parque Chas,11-2020,20666.666666666668
Capital Federal,Villa Devoto,11-2020,27787.234042553187
Capital Federal,Paternal,11-2020,26883.333333333336
Capital Federal,Versalles,11-2020,30250
Capital Federal,Colegiales,11-2020,35003.225806451614
Bs.As. G.B.A. Zona Norte,San Miguel,11-2020,18167.785234899329
Bs.As. G.B.A. Zona Sur,Ezeiza,11-2020,19450
Bs.As. G.B.A. Zona Norte,San Fernando,11-2020,32789.230769230773
Capital Federal,Chacarita,11-2020,33169.999999999993
Capital Federal,Parque Chacabuco,11-2020,28833.333333333336
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,11-2020,20950
Capital Federal,Mataderos,11-2020,23277.777777777777
Bs.As. G.B.A. Zona Norte,San Isidro,11-2020,47684.397163120571
Bs.As. G.B.A. Zona Oeste,Ituzaingó,11-2020,21303.571428571428
Capital Federal,Villa Real,11-2020,19166.666666666668
Bs.As. G.B.A. Zona Oeste,Merlo,11-2020,16039.999999999998
Capital Federal,Caballito,11-2020,30096.197718631181
Bs.As. G.B.A. Zona Sur,La Plata,11-2020,39191.745454545453
Capital Federal,Floresta,11-2020,21199.999999999996
Capital Federal,Parque Patricios,11-2020,24000
Capital Federal,Villa Pueyrredón,11-2020,24645
Capital Federal,Villa Ortuzar,11-2020,33333.333333333336
Capital Federal,Liniers,11-2020,24466.666666666664
Bs.As. G.B.A. Zona Norte,Escobar,11-2020,21822.580645161292
Capital Federal,San Nicolás,11-2020,21554.545454545456
Capital Federal,Constitución,11-2020,21583.333333333332
Capital Federal,Almagro,11-2020,26293.827160493827
Bs.As. G.B.A. Zona Norte,General San Martín,11-2020,22446.938775510203
Bs.As. G.B.A. Zona Sur,Almirante Brown,11-2020,18444.444444444445
Capital Federal,Pompeya,11-2020,22000
Capital Federal,Centro / Microcentro,11-2020,23460
Capital Federal,Tribunales,11-2020,22888.888888888887
Bs.As. G.B.A. Zona Sur,Lanús,11-2020,20660
Capital Federal,Retiro,11-2020,43801.14942528736
Capital Federal,Villa Urquiza,11-2020,31390.243902439026
Capital Federal,Pompeya,11-2019,15250
Capital Federal,Flores,11-2019,18195.098039215685
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,11-2019,14333.333333333334
Bs.As. G.B.A. Zona Sur,Lanús,11-2019,12302.173913043482
Capital Federal,Monte Castro,11-2019,13685.714285714286
Capital Federal,Villa del Parque,11-2019,17492.857142857141
Capital Federal,Congreso,11-2019,15241.379310344828
Bs.As. G.B.A. Zona Sur,Cañuelas,11-2019,8000
Capital Federal,Colegiales,11-2019,20219.298245614038
Bs.As. G.B.A. Zona Norte,San Isidro,11-2019,26563.849765258212
Capital Federal,San Cristobal,11-2019,16087.468085106382
Bs.As. G.B.A. Zona Norte,Tigre,11-2019,26381.382978723403
Capital Federal,Boca,11-2019,12972
Capital Federal,Versalles,11-2019,15071.428571428571
Capital Federal,Chacarita,11-2019,19746.153846153844
Capital Federal,Palermo,11-2019,27986.772486772486
Bs.As. G.B.A. Zona Oeste,General Rodríguez,11-2019,10428.571428571428
Capital Federal,Abasto,11-2019,17450
Bs.As. G.B.A. Zona Sur,Quilmes,11-2019,19122.36842105263
Bs.As. G.B.A. Zona Norte,Pilar,11-2019,21544.848484848484
Capital Federal,Caballito,11-2019,18372.480620155042
Bs.As. G.B.A. Zona Norte,Vicente López,11-2019,25740.78947368421
Bs.As. G.B.A. Zona Sur,Presidente Perón,11-2019,12000
Capital Federal,Parque Chacabuco,11-2019,16899.999999999996
Capital Federal,Almagro,11-2019,18761.217948717946
Bs.As. G.B.A. Zona Norte,General San Martín,11-2019,12183.739837398374
Capital Federal,Constitución,11-2019,14076.714285714284
Bs.As. G.B.A. Zona Sur,Ezeiza,11-2019,17438.333333333336
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,11-2019,14820.519480519482
Bs.As. G.B.A. Zona Oeste,Marcos Paz,11-2019,8375
Capital Federal,Villa Urquiza,11-2019,20914.102564102563
Capital Federal,Floresta,11-2019,14251.000000000002
Capital Federal,San Telmo,11-2019,19373.333333333336
Capital Federal,Monserrat,11-2019,15681.818181818184
Bs.As. G.B.A. Zona Oeste,La Matanza,11-2019,12391.616766467065
Bs.As. G.B.A. Zona Oeste,Ituzaingó,11-2019,12617.142857142859
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,11-2019,12034.463276836161
Capital Federal,Retiro,11-2019,25125.423728813555
Capital Federal,Barrio Norte,11-2019,20996.932515337423
Capital Federal,Villa Devoto,11-2019,18384.482758620692
Capital Federal,Agronomía,11-2019,19535.714285714286
Capital Federal,Parque Centenario,11-2019,21981.81818181818
Bs.As. G.B.A. Zona Sur,Almirante Brown,11-2019,13152.173913043476
Capital Federal,Villa Santa Rita,11-2019,15750
Capital Federal,Coghlan,11-2019,20695
Bs.As. G.B.A. Zona Sur,Florencio Varela,11-2019,11375
Capital Federal,Recoleta,11-2019,28072.857142857145
Capital Federal,Villa Luro,11-2019,16071.428571428571
Capital Federal,Villa Pueyrredón,11-2019,16482.692307692312
Capital Federal,Villa Lugano,11-2019,11500
Bs.As. G.B.A. Zona Oeste,Moreno,11-2019,9950.8474576271183
Capital Federal,Las Cañitas,11-2019,26842.499999999996
Capital Federal,Parque Patricios,11-2019,17500
Capital Federal,Parque Avellaneda,11-2019,17916.666666666668
Bs.As. G.B.A. Zona Sur,Avellaneda,11-2019,12243.636363636364
Capital Federal,Saavedra,11-2019,20122.580645161292
Capital Federal,Liniers,11-2019,16542.857142857141
Capital Federal,Balvanera,11-2019,16047.318965517239
Bs.As. G.B.A. Zona Norte,San Fernando,11-2019,19735.365853658535
Bs.As. G.B.A. Zona Norte,José C Paz,11-2019,9185.7142857142862
Capital Federal,"",11-2019,19876.923076923078
Capital Federal,Mataderos,11-2019,15863.157894736842
Bs.As. G.B.A. Zona Sur,Berazategui,11-2019,14626.315789473687
Capital Federal,Paternal,11-2019,14700
Bs.As. G.B.A. Zona Sur,La Plata,11-2019,13379.505300353358
Capital Federal,Villa General Mitre,11-2019,18958.333333333332
Capital Federal,Villa Crespo,11-2019,19916.064285714285
Capital Federal,Villa Ortuzar,11-2019,18453.333333333336
Bs.As. G.B.A. Zona Norte,Escobar,11-2019,15726.190476190475
Capital Federal,Tribunales,11-2019,12540
Bs.As. G.B.A. Zona Norte,"",11-2019,13120
Capital Federal,Villa Real,11-2019,18150
Capital Federal,Velez Sarsfield,11-2019,12966.666666666666
Capital Federal,Puerto Madero,11-2019,54218.91891891892
Capital Federal,Belgrano,11-2019,31184.084880636605
Capital Federal,Barracas,11-2019,18413.043478260868
Bs.As. G.B.A. Zona Oeste,Hurlingham,11-2019,9300
Capital Federal,Parque Chas,11-2019,14000
Bs.As. G.B.A. Zona Oeste,Merlo,11-2019,9978.7234042553209
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,11-2019,9795.454545454546
Bs.As. G.B.A. Zona Oeste,Morón,11-2019,11435.057471264367
Capital Federal,Boedo,11-2019,14645.161290322581
Bs.As. G.B.A. Zona Norte,San Miguel,11-2019,11471.991701244811
Capital Federal,Centro / Microcentro,11-2019,15217.857142857145
Capital Federal,San Nicolás,11-2019,17250.746268656709
Capital Federal,Once,11-2019,15930
Capital Federal,Nuñez,11-2019,27531.557377049186
Bs.As. G.B.A. Zona Sur,Almirante Brown,11-2018,8217.3913043478278
Capital Federal,Balvanera,11-2018,14129.545454545454
Bs.As. G.B.A. Zona Oeste,"",11-2018,8785.7142857142862
Bs.As. G.B.A. Zona Oeste,Moreno,11-2018,7848.2758620689656
Capital Federal,Saavedra,11-2018,13193.939393939394
Capital Federal,Nuñez,11-2018,18672.727272727272
Capital Federal,Recoleta,11-2018,21916.666666666668
Capital Federal,Parque Chas,11-2018,11087.5
Bs.As. G.B.A. Zona Norte,Vicente López,11-2018,21010.115606936422
Bs.As. G.B.A. Zona Norte,San Fernando,11-2018,15444.285714285714
Capital Federal,Parque Avellaneda,11-2018,11666.666666666666
Capital Federal,Villa Luro,11-2018,11529.62962962963
Bs.As. G.B.A. Zona Oeste,Marcos Paz,11-2018,5333.333333333333
Bs.As. G.B.A. Zona Norte,General San Martín,11-2018,9778.16091954023
Capital Federal,Villa Lugano,11-2018,9777.7777777777774
Capital Federal,Paternal,11-2018,11142.857142857143
Capital Federal,Flores,11-2018,12437.499999999998
Capital Federal,Villa Santa Rita,11-2018,13100
Capital Federal,Chacarita,11-2018,15733.333333333334
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,11-2018,8000.0000000000009
Bs.As. G.B.A. Zona Sur,Lanús,11-2018,9476.27118644068
Capital Federal,"",11-2018,11318.181818181818
Capital Federal,Monserrat,11-2018,13059.999999999998
Bs.As. G.B.A. Zona Sur,Avellaneda,11-2018,9847.05882352941
Bs.As. G.B.A. Zona Norte,José C Paz,11-2018,6116.666666666667
Capital Federal,Villa Crespo,11-2018,13140.384615384613
Bs.As. G.B.A. Zona Sur,Cañuelas,11-2018,8166.666666666667
Capital Federal,Villa del Parque,11-2018,13639.583333333334
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,11-2018,9150.0000000000018
Bs.As. G.B.A. Zona Norte,Escobar,11-2018,8096.0975609756106
Capital Federal,Puerto Madero,11-2018,44641.666666666664
Capital Federal,Agronomía,11-2018,11000
Bs.As. G.B.A. Zona Norte,"",11-2018,9570
Capital Federal,Villa Urquiza,11-2018,15686.363636363636
Capital Federal,Congreso,11-2018,16840.740740740737
Bs.As. G.B.A. Zona Norte,San Miguel,11-2018,8629.72972972973
Capital Federal,Mataderos,11-2018,12014.999999999998
Bs.As. G.B.A. Zona Sur,Ezeiza,11-2018,12319.23076923077
Capital Federal,Velez Sarsfield,11-2018,8000
Capital Federal,Centro / Microcentro,11-2018,10890.476190476191
Capital Federal,Parque Centenario,11-2018,15691.666666666666
Capital Federal,Versalles,11-2018,10033.333333333334
Capital Federal,Parque Patricios,11-2018,11458.333333333334
Capital Federal,Boedo,11-2018,12222.222222222223
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,11-2018,10262.913907284768
Capital Federal,Almagro,11-2018,14314.705882352942
Capital Federal,Barracas,11-2018,13850.000000000002
Capital Federal,Barrio Norte,11-2018,16076.223776223775
Bs.As. G.B.A. Zona Norte,Tigre,11-2018,21889.83660130719
Capital Federal,Floresta,11-2018,10164.102564102563
Capital Federal,San Cristobal,11-2018,11049.999999999998
Capital Federal,Palermo,11-2018,21218.325791855212
Bs.As. G.B.A. Zona Oeste,Morón,11-2018,8805.3435114503791
Bs.As. G.B.A. Zona Sur,Quilmes,11-2018,11105.882352941177
Capital Federal,Tribunales,11-2018,14666.666666666666
Bs.As. G.B.A. Zona Oeste,General Rodríguez,11-2018,6700
Capital Federal,Villa Ortuzar,11-2018,14662.5
Bs.As. G.B.A. Zona Oeste,Merlo,11-2018,7946.4285714285716
Capital Federal,Liniers,11-2018,10590.909090909088
Bs.As. G.B.A. Zona Norte,Pilar,11-2018,12275.806451612902
Capital Federal,Monte Castro,11-2018,10300
Bs.As. G.B.A. Zona Sur,Berazategui,11-2018,12875
Bs.As. G.B.A. Zona Oeste,Ituzaingó,11-2018,8861.1111111111113
Capital Federal,Villa Real,11-2018,13862.5
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,11-2018,8959.3023255813969
Capital Federal,Caballito,11-2018,13234.77011494253
Capital Federal,Coghlan,11-2018,24821.05263157895
Capital Federal,Boca,11-2018,12599.999999999998
Capital Federal,San Nicolás,11-2018,12704.347826086958
Bs.As. G.B.A. Zona Sur,La Plata,11-2018,9744.3018018018029
Capital Federal,Las Cañitas,11-2018,18352.000000000004
Capital Federal,Villa General Mitre,11-2018,11250
Capital Federal,Once,11-2018,14755.555555555555
Capital Federal,Parque Chacabuco,11-2018,12431.578947368422
Bs.As. G.B.A. Zona Norte,San Isidro,11-2018,20947.515527950312
Capital Federal,Villa Pueyrredón,11-2018,14174.999999999998
Bs.As. G.B.A. Zona Oeste,La Matanza,11-2018,9338.0952380952385
Capital Federal,Colegiales,11-2018,16077.777777777777
Bs.As. G.B.A. Zona Oeste,Hurlingham,11-2018,6771.4285714285716
Capital Federal,Constitución,11-2018,8935.7142857142844
Capital Federal,San Telmo,11-2018,12334.375000000002
Capital Federal,Retiro,11-2018,22354.054054054053
Capital Federal,Belgrano,11-2018,20212.386706948637
Capital Federal,Villa Devoto,11-2018,15201.451612903227
Capital Federal,Abasto,11-2018,13183.333333333334
Capital Federal,Barrio Norte,11-2017,14841.359649122809
Capital Federal,Almagro,11-2017,10268.518518518518
Bs.As. G.B.A. Zona Norte,Vicente López,11-2017,15578.723404255321
Bs.As. G.B.A. Zona Norte,Escobar,11-2017,8320
Bs.As. G.B.A. Zona Oeste,Morón,11-2017,6651.11111111111
Bs.As. G.B.A. Zona Sur,Cañuelas,11-2017,3500
Capital Federal,Abasto,11-2017,8577.7777777777774
Bs.As. G.B.A. Zona Sur,La Plata,11-2017,7551.9444444444443
Capital Federal,Colegiales,11-2017,11522.58064516129
Capital Federal,Puerto Madero,11-2017,32794.915254237283
Capital Federal,Liniers,11-2017,8025
Capital Federal,Palermo,11-2017,16317.853896103898
Capital Federal,Boedo,11-2017,11966.666666666666
Capital Federal,San Nicolás,11-2017,8414.2857142857156
Capital Federal,Retiro,11-2017,16426.666666666668
Capital Federal,Centro / Microcentro,11-2017,7273.6842105263167
Capital Federal,Villa General Mitre,11-2017,9000
Bs.As. G.B.A. Zona Norte,San Isidro,11-2017,16424.237373737371
Bs.As. G.B.A. Zona Oeste,General Rodríguez,11-2017,6000
Bs.As. G.B.A. Zona Sur,Florencio Varela,11-2017,3000
Bs.As. G.B.A. Zona Sur,Almirante Brown,11-2017,8074.9999999999991
Capital Federal,Monserrat,11-2017,9328.57142857143
Capital Federal,Villa Urquiza,11-2017,9969.4444444444434
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,11-2017,7736.1788617886186
Capital Federal,Monte Castro,11-2017,6566.666666666667
Bs.As. G.B.A. Zona Norte,General San Martín,11-2017,7530.4878048780492
Capital Federal,Saavedra,11-2017,10961.538461538461
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,11-2017,6281.818181818182
Capital Federal,Barracas,11-2017,10088
Bs.As. G.B.A. Zona Oeste,Marcos Paz,11-2017,4266.666666666667
Bs.As. G.B.A. Zona Sur,Presidente Perón,11-2017,5000
Capital Federal,Villa Luro,11-2017,7916.666666666667
Bs.As. G.B.A. Zona Norte,San Fernando,11-2017,11702.127659574468
Bs.As. G.B.A. Zona Sur,Avellaneda,11-2017,6610.4736842105267
Capital Federal,Balvanera,11-2017,8692.8571428571431
Capital Federal,Constitución,11-2017,7000
Bs.As. G.B.A. Zona Sur,Quilmes,11-2017,6314.2857142857147
Capital Federal,Nuñez,11-2017,15262.5
Capital Federal,Paternal,11-2017,8014.2857142857147
Capital Federal,"",11-2017,10750
Capital Federal,Villa Ortuzar,11-2017,8100
Bs.As. G.B.A. Zona Norte,Tigre,11-2017,15789.764957264959
Capital Federal,Parque Patricios,11-2017,9700
Capital Federal,Flores,11-2017,9524.2857142857138
Capital Federal,San Cristobal,11-2017,8500
Capital Federal,Parque Chacabuco,11-2017,8770
Bs.As. G.B.A. Zona Sur,Lanús,11-2017,7447.2222222222226
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,11-2017,7295.454545454545
Bs.As. G.B.A. Zona Norte,Pilar,11-2017,11847.169811320755
Bs.As. G.B.A. Zona Norte,José C Paz,11-2017,4000
Bs.As. G.B.A. Zona Norte,San Miguel,11-2017,6225.36231884058
Capital Federal,Coghlan,11-2017,9733.3333333333339
Capital Federal,Agronomía,11-2017,19000
Capital Federal,Once,11-2017,11183.333333333334
Capital Federal,Belgrano,11-2017,15612.249999999998
Bs.As. G.B.A. Zona Oeste,Ituzaingó,11-2017,7888.8888888888905
Bs.As. G.B.A. Zona Sur,Ezeiza,11-2017,8014.2857142857147
Bs.As. G.B.A. Zona Sur,Berazategui,11-2017,13875
Capital Federal,Versalles,11-2017,7340
Capital Federal,Floresta,11-2017,7630
Capital Federal,Recoleta,11-2017,18949.480263157893
Capital Federal,Villa Pueyrredón,11-2017,10169.23076923077
Capital Federal,Villa Real,11-2017,7500
Capital Federal,Caballito,11-2017,10684
Bs.As. G.B.A. Zona Oeste,Moreno,11-2017,6600
Capital Federal,Parque Chas,11-2017,9000
Capital Federal,Parque Centenario,11-2017,14250
Capital Federal,Mataderos,11-2017,8242.8571428571413
Capital Federal,Tribunales,11-2017,9960
Bs.As. G.B.A. Zona Oeste,Hurlingham,11-2017,5969.2307692307695
Capital Federal,Boca,11-2017,8540
Capital Federal,Congreso,11-2017,6900
Capital Federal,Villa Crespo,11-2017,10334.693877551019
Capital Federal,Chacarita,11-2017,10993.333333333334
Capital Federal,San Telmo,11-2017,12734.285714285714
Capital Federal,Villa Devoto,11-2017,12159.999999999998
Capital Federal,Villa del Parque,11-2017,10610
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,11-2017,6463.8297872340427
Capital Federal,Parque Avellaneda,11-2017,5000
Bs.As. G.B.A. Zona Norte,"",11-2017,8750
Bs.As. G.B.A. Zona Oeste,La Matanza,11-2017,7096.9387755102052
Bs.As. G.B.A. Zona Oeste,Merlo,11-2017,11216.666666666666
